date,actual_incidents,rf_predicted_walkforward,rf_forecast
2020-01-08,21.0,,
2020-01-09,31.0,,
2020-01-10,26.0,,
2020-01-11,27.0,,
2020-01-12,41.0,,
2020-01-13,29.0,,
2020-01-14,21.0,,
2020-01-15,20.0,,
2020-01-16,27.0,,
2020-01-17,40.0,,
2020-01-18,35.0,,
2020-01-19,32.0,,
2020-01-20,24.0,,
2020-01-21,24.0,,
2020-01-22,32.0,,
2020-01-23,27.0,,
2020-01-24,49.0,,
2020-01-25,33.0,,
2020-01-26,29.0,,
2020-01-27,24.0,,
2020-01-28,21.0,,
2020-01-29,19.0,,
2020-01-30,21.0,,
2020-01-31,40.0,,
2020-02-01,29.0,,
2020-02-02,26.0,,
2020-02-03,32.0,,
2020-02-04,21.0,,
2020-02-05,30.0,,
2020-02-06,23.0,,
2020-02-07,47.0,,
2020-02-08,42.0,,
2020-02-09,23.0,,
2020-02-10,24.0,,
2020-02-11,28.0,,
2020-02-12,34.0,,
2020-02-13,18.0,,
2020-02-14,37.0,,
2020-02-15,23.0,,
2020-02-16,44.0,,
2020-02-17,27.0,,
2020-02-18,29.0,,
2020-02-19,12.0,,
2020-02-20,21.0,,
2020-02-21,33.0,,
2020-02-22,29.0,,
2020-02-23,33.0,,
2020-02-24,27.0,,
2020-02-25,24.0,,
2020-02-26,19.0,,
2020-02-27,24.0,,
2020-02-28,33.0,,
2020-02-29,24.0,,
2020-03-01,21.0,,
2020-03-02,31.0,,
2020-03-03,27.0,,
2020-03-04,27.0,,
2020-03-05,15.0,,
2020-03-06,38.0,,
2020-03-07,42.0,,
2020-03-08,39.0,,
2020-03-09,20.0,,
2020-03-10,20.0,,
2020-03-11,27.0,,
2020-03-12,24.0,,
2020-03-13,28.0,,
2020-03-14,21.0,,
2020-03-15,7.0,,
2020-03-16,7.0,,
2020-03-17,4.0,,
2020-03-18,5.0,,
2020-03-19,5.0,,
2020-03-20,9.0,,
2020-03-21,8.0,,
2020-03-22,11.0,,
2020-03-23,12.0,,
2020-03-24,4.0,,
2020-03-25,4.0,,
2020-03-26,6.0,,
2020-03-27,14.0,,
2020-03-28,2.0,,
2020-03-29,9.0,,
2020-03-30,6.0,,
2020-03-31,4.0,,
2020-04-01,6.0,,
2020-04-02,8.0,,
